Date,Latitude,Longitude,Sea_Surface_Temperature,HotSpots,Degree_Heating_Weeks,Bleaching_Alert_Area
1/1/1985,20.575,-157.7,24.32,0,0,0
1/2/1985,20.575,-157.7,24.58,0,0,0
1/3/1985,20.575,-157.7,24.63,0,0,0
1/4/1985,20.575,-157.7,24.58,0,0,0
1/5/1985,20.575,-157.7,24.84,0,0,0
1/6/1985,20.575,-157.7,24.81,0,0,0
1/7/1985,20.575,-157.7,24.74,0,0,0
1/8/1985,20.575,-157.7,24.68,0,0,0
1/9/1985,20.575,-157.7,24.92,0,0,0
1/10/1985,20.575,-157.7,24.59,0,0,0
1/11/1985,20.575,-157.7,24.73,0,0,0
1/12/1985,20.575,-157.7,24.71,0,0,0
1/13/1985,20.575,-157.7,24.89,0,0,0
1/14/1985,20.575,-157.7,25.08,0,0,0
1/15/1985,20.575,-157.7,24.91,0,0,0
1/16/1985,20.575,-157.7,24.63,0,0,0
1/17/1985,20.575,-157.7,24.34,0,0,0
1/18/1985,20.575,-157.7,24.42,0,0,0
1/19/1985,20.575,-157.7,24.4,0,0,0
1/20/1985,20.575,-157.7,24.99,0,0,0
1/21/1985,20.575,-157.7,25.03,0,0,0
1/22/1985,20.575,-157.7,24.77,0,0,0
1/23/1985,20.575,-157.7,24.61,0,0,0
1/24/1985,20.575,-157.7,24.63,0,0,0
1/25/1985,20.575,-157.7,24.12,0,0,0
1/26/1985,20.575,-157.7,23.76,0,0,0
1/27/1985,20.575,-157.7,23.9,0,0,0
1/28/1985,20.575,-157.7,24.04,0,0,0
1/29/1985,20.575,-157.7,24.09,0,0,0
1/30/1985,20.575,-157.7,24.34,0,0,0
1/31/1985,20.575,-157.7,23.58,0,0,0
2/1/1985,20.575,-157.7,23.86,0,0,0
2/2/1985,20.575,-157.7,23.67,0,0,0
2/3/1985,20.575,-157.7,23.25,0,0,0
2/4/1985,20.575,-157.7,23.26,0,0,0
2/5/1985,20.575,-157.7,23.77,0,0,0
2/6/1985,20.575,-157.7,23.86,0,0,0
2/7/1985,20.575,-157.7,24.2,0,0,0
2/8/1985,20.575,-157.7,24.28,0,0,0
2/9/1985,20.575,-157.7,24.08,0,0,0
2/10/1985,20.575,-157.7,24.11,0,0,0
2/11/1985,20.575,-157.7,24.13,0,0,0
2/12/1985,20.575,-157.7,23.97,0,0,0
2/13/1985,20.575,-157.7,24.57,0,0,0
2/14/1985,20.575,-157.7,24.48,0,0,0
2/15/1985,20.575,-157.7,24.35,0,0,0
2/16/1985,20.575,-157.7,23.91,0,0,0
2/17/1985,20.575,-157.7,24.29,0,0,0
2/18/1985,20.575,-157.7,24.37,0,0,0
2/19/1985,20.575,-157.7,24.08,0,0,0
2/20/1985,20.575,-157.7,24.44,0,0,0
2/21/1985,20.575,-157.7,24.37,0,0,0
2/22/1985,20.575,-157.7,24.33,0,0,0
